tiraz,1-number,2-number,3-number,4-number,5-number,6-number,7-number,datetime,jackpot
239,4,13,42,3,38,15,9,2014-11-03 21:00:00,50000000
240,9,20,27,30,13,33,41,2014-11-05 21:00:00,50000000
241,49,4,35,12,6,45,26,2014-11-07 21:00:00,50000000
242,30,47,48,38,10,22,35,2014-11-10 21:00:00,50000000
243,25,7,43,2,37,48,18,2014-11-12 21:00:00,50000000
244,7,46,36,45,43,41,30,2014-11-14 21:00:00,50000000
245,18,30,14,40,9,4,41,2014-11-17 21:00:00,50000000
246,12,1,26,7,17,14,29,2014-11-18 21:00:00,50000000
247,19,44,5,34,45,47,15,2014-11-19 21:00:00,50000000
248,47,43,37,45,15,35,10,2014-11-20 21:00:00,50000000
249,40,42,19,8,23,33,38,2014-11-21 21:00:00,50000000
250,26,36,11,28,21,35,29,2014-11-22 21:00:00,50000000
251,4,1,18,34,7,10,3,2014-11-23 21:00:00,50000000
252,27,34,26,14,6,12,38,2014-11-24 21:00:00,50000000
253,34,15,10,18,31,1,26,2014-11-25 21:00:00,50000000
254,36,24,10,17,11,12,23,2014-11-26 21:00:00,50000000
255,24,47,2,11,15,40,30,2014-11-27 21:00:00,50000000
256,19,18,38,29,44,2,26,2014-11-28 21:00:00,50000000
257,12,31,9,8,18,29,46,2014-11-29 21:00:00,50000000
258,23,5,34,3,38,30,43,2014-11-30 21:00:00,50000000
259,42,35,4,10,31,38,46,2014-12-01 21:00:00,50000000
260,48,34,14,46,17,4,45,2014-12-02 21:00:00,50000000
261,39,46,14,18,28,31,5,2014-12-03 21:00:00,50000000
262,48,27,44,34,19,7,14,2014-12-04 21:00:00,50000000
263,5,39,36,27,49,17,29,2014-12-05 21:00:00,50000000
264,21,11,4,28,31,38,23,2014-12-06 21:00:00,50000000
265,32,43,41,15,36,24,17,2014-12-07 21:00:00,50000000
266,1,46,15,41,9,12,17,2014-12-08 21:00:00,50000000
267,15,20,32,11,1,17,29,2014-12-09 21:00:00,50000000
268,35,43,33,13,11,44,1,2014-12-10 21:00:00,50000000
269,30,48,47,7,2,39,13,2014-12-11 21:00:00,50000000
270,19,22,20,24,9,44,10,2014-12-12 21:00:00,50000000
271,10,11,19,34,31,44,3,2014-12-13 21:00:00,50000000
272,36,48,33,41,4,17,35,2014-12-14 21:00:00,50000000
273,14,36,42,45,13,16,37,2014-12-15 21:00:00,50000000
274,31,36,48,3,28,9,21,2014-12-16 21:00:00,50000000
275,19,10,23,2,21,12,48,2014-12-17 21:00:00,50000000
276,37,18,32,34,30,2,8,2014-12-18 21:00:00,50000000
277,31,2,12,32,5,23,18,2014-12-19 21:00:00,50000000
278,27,4,45,9,40,26,25,2014-12-20 21:00:00,50000000
279,6,1,43,37,7,19,5,2014-12-21 21:00:00,50000000
280,2,42,4,30,31,13,49,2014-12-22 21:00:00,50000000
281,18,38,30,29,22,23,46,2014-12-23 21:00:00,50000000
282,44,22,25,32,41,14,26,2014-12-24 21:00:00,50000000
283,43,48,6,25,31,7,29,2014-12-25 21:00:00,50000000
284,23,30,9,20,19,16,28,2014-12-26 21:00:00,50000000
285,12,14,20,35,22,16,48,2014-12-27 21:00:00,50000000
286,14,6,44,37,27,22,29,2014-12-28 21:00:00,50000000
287,22,3,33,47,34,32,41,2014-12-29 21:00:00,50000000
288,18,5,25,1,27,16,17,2014-12-30 21:00:00,50000000
289,15,40,49,10,28,12,8,2014-12-31 21:00:00,50000000
290,18,22,38,31,11,9,8,2015-01-01 21:00:00,50000000
291,26,35,2,7,3,17,32,2015-01-02 21:00:00,50000000
292,38,42,27,3,36,30,18,2015-01-03 21:00:00,50000000
293,38,42,6,26,28,36,13,2015-01-04 21:00:00,50000000
294,11,16,3,7,32,45,30,2015-01-05 21:00:00,50000000
295,22,29,33,4,5,35,41,2015-01-06 21:00:00,50000000
296,26,42,43,8,28,36,32,2015-01-07 21:00:00,50000000
297,47,10,22,39,13,17,38,2015-01-08 21:00:00,50000000
298,38,17,48,11,39,45,35,2015-01-09 21:00:00,50000000
299,1,38,30,42,4,37,8,2015-01-10 21:00:00,50000000
300,48,19,18,40,34,39,44,2015-01-11 21:00:00,50000000
301,28,43,47,26,32,9,7,2015-01-12 21:00:00,50000000
302,16,30,3,5,23,17,19,2015-01-14 21:00:00,50000000
303,24,13,29,42,38,37,46,2015-01-16 21:00:00,50000000
304,49,32,2,22,16,43,37,2015-01-19 21:00:00,50000000
305,22,10,24,31,33,18,21,2015-01-21 21:00:00,50000000
306,26,12,43,45,16,1,46,2015-01-23 21:00:00,50000000
307,9,39,10,48,1,40,38,2015-01-26 21:00:00,50000000
308,41,3,8,32,44,2,35,2015-01-28 21:00:00,50000000
309,24,5,49,2,6,8,43,2015-01-30 21:00:00,50000000
310,5,24,33,44,46,29,26,2015-02-02 21:00:00,50000000
311,24,4,2,13,3,27,21,2015-02-04 21:00:00,50000000
312,49,20,13,35,14,1,18,2015-02-06 21:00:00,50000000
313,35,29,47,38,12,32,39,2015-02-09 21:00:00,50000000
314,28,4,24,5,27,25,35,2015-02-11 21:00:00,50000000
315,43,12,33,49,15,42,20,2015-02-13 21:00:00,50000000
316,34,12,32,38,39,31,6,2015-02-16 12:30:00,50000000
317,49,18,1,26,43,47,30,2015-02-16 14:30:00,50000000
318,10,11,24,6,33,45,16,2015-02-16 16:30:00,50000000
319,9,35,44,4,24,25,41,2015-02-16 18:30:00,50000000
320,16,26,30,47,45,15,39,2015-02-16 20:30:00,50000000
321,12,44,32,47,26,1,15,2015-02-16 22:30:00,50000000
322,35,5,48,42,23,30,22,2015-02-17 12:30:00,50000000
323,17,23,42,12,39,25,7,2015-02-17 14:30:00,50000000
324,5,37,10,35,46,7,43,2015-02-17 16:30:00,50000000
325,12,16,6,26,9,15,46,2015-02-17 18:30:00,50000000
326,24,28,22,9,5,32,15,2015-02-17 20:30:00,50000000
327,15,48,22,1,11,10,18,2015-02-17 22:30:00,50000000
328,43,2,4,14,10,26,8,2015-02-18 12:30:00,50000000
329,11,40,49,42,12,47,34,2015-02-18 14:30:00,50000000
330,35,21,33,28,1,16,22,2015-02-18 16:30:00,50000000
331,35,9,40,42,26,15,2,2015-02-18 18:30:00,50000000
332,17,20,45,9,4,6,29,2015-02-18 20:30:00,50000000
333,41,37,45,39,24,34,4,2015-02-18 22:30:00,50000000
334,11,12,9,25,40,30,16,2015-02-19 12:30:00,50000000
335,8,43,19,40,35,5,34,2015-02-19 14:30:00,50000000
336,23,47,26,25,15,42,9,2015-02-19 16:30:00,50000000
337,14,38,30,19,29,5,49,2015-02-19 18:30:00,50000000
338,8,40,26,31,43,36,38,2015-02-19 20:30:00,50000000
339,22,7,16,28,4,6,12,2015-02-19 22:30:00,50000000
340,21,13,2,8,38,14,30,2015-02-20 12:30:00,50000000
341,14,5,47,9,34,10,30,2015-02-20 14:30:00,50000000
342,20,10,28,40,16,39,36,2015-02-20 16:30:00,50000000
343,16,28,44,17,12,41,19,2015-02-20 18:30:00,50000000
344,13,48,11,16,22,29,36,2015-02-20 20:30:00,50000000
345,32,41,31,27,38,20,46,2015-02-20 22:30:00,50000000
346,20,5,7,41,33,38,47,2015-02-21 12:30:00,50000000
347,20,21,45,22,49,23,4,2015-02-21 14:30:00,50000000
348,43,35,41,42,10,20,30,2015-02-21 16:30:00,50000000
349,4,41,8,22,10,16,42,2015-02-21 18:30:00,50000000
350,16,14,40,27,30,42,37,2015-02-21 20:30:00,50000000
351,34,40,26,29,15,30,10,2015-02-21 22:30:00,50000000
352,12,25,3,41,34,39,29,2015-02-22 12:30:00,50000000
353,6,44,43,29,2,40,31,2015-02-22 14:30:00,50000000
354,46,19,39,27,23,36,3,2015-02-22 16:30:00,50000000
355,21,29,4,46,28,43,33,2015-02-22 18:30:00,50000000
356,23,32,18,5,34,22,36,2015-02-22 20:30:00,50000000
357,11,29,19,37,2,23,15,2015-02-22 22:30:00,50000000
358,7,39,44,22,45,26,37,2015-02-23 12:30:00,50000000
359,49,27,37,42,21,17,11,2015-02-23 14:30:00,50000000
360,20,33,6,42,41,25,18,2015-02-23 16:30:00,50000000
361,7,38,30,10,22,39,3,2015-02-23 18:30:00,50000000
362,44,19,13,17,14,39,18,2015-02-23 20:30:00,50000000
363,3,7,42,11,10,8,40,2015-02-23 22:30:00,50000000
364,45,6,41,8,28,12,23,2015-02-24 12:30:00,50000000
365,15,45,18,35,33,10,20,2015-02-24 14:30:00,50000000
366,38,11,32,1,44,19,14,2015-02-24 16:30:00,50000000
367,23,49,20,40,32,13,48,2015-02-24 18:30:00,50000000
368,24,45,40,3,19,28,36,2015-02-24 20:30:00,50000000
369,48,30,25,49,8,19,3,2015-02-24 22:30:00,50000000
370,42,18,23,39,38,45,25,2015-02-25 12:30:00,50000000
371,9,4,33,49,19,37,29,2015-02-25 14:30:00,50000000
372,29,24,34,36,39,23,7,2015-02-25 16:30:00,50000000
373,2,35,28,41,21,33,32,2015-02-25 18:30:00,50000000
374,3,43,40,8,38,41,27,2015-02-25 20:30:00,50000000
375,46,16,6,30,27,42,47,2015-02-25 22:30:00,50000000
376,23,48,32,46,19,18,45,2015-02-26 12:30:00,50000000
377,8,32,29,44,21,43,34,2015-02-26 14:30:00,50000000
378,49,42,43,6,18,7,23,2015-02-26 16:30:00,50000000
379,26,8,46,40,38,35,14,2015-02-26 18:30:00,50000000
380,36,23,31,22,19,5,41,2015-02-26 20:30:00,50000000
381,15,8,14,49,11,36,13,2015-02-26 22:30:00,50000000
382,40,38,17,11,43,5,26,2015-02-27 12:30:00,50000000
383,22,37,27,5,47,14,20,2015-02-27 14:30:00,50000000
384,25,35,10,42,44,27,26,2015-02-27 16:30:00,50000000
385,21,28,45,6,5,1,26,2015-02-27 18:30:00,50000000
386,8,32,36,3,28,29,2,2015-02-27 20:30:00,50000000
387,36,12,21,48,28,6,3,2015-02-27 22:30:00,50000000
388,8,5,25,11,14,24,7,2015-02-28 12:30:00,50000000
389,29,27,24,9,31,17,11,2015-02-28 14:30:00,50000000
390,12,31,18,25,21,38,36,2015-02-28 16:30:00,50000000
391,20,16,28,22,33,45,1,2015-02-28 18:30:00,50000000
392,17,15,8,45,21,31,34,2015-02-28 20:30:00,50000000
393,39,9,5,11,38,8,13,2015-02-28 22:30:00,50000000
394,37,45,43,47,9,44,1,2015-03-01 12:30:00,50000000
395,9,7,29,12,11,43,32,2015-03-01 14:30:00,50000000
396,23,29,20,35,12,37,47,2015-03-01 16:30:00,50000000
397,34,45,26,23,18,15,16,2015-03-01 18:30:00,50000000
398,39,22,19,15,24,30,16,2015-03-01 20:30:00,50000000
399,29,24,10,36,48,11,26,2015-03-01 22:30:00,50000000
400,40,49,19,45,14,20,33,2015-03-02 12:30:00,50000000
401,13,44,34,40,10,38,28,2015-03-02 14:30:00,50000000
402,37,32,49,13,9,25,46,2015-03-02 16:30:00,50000000
403,19,6,38,15,18,43,2,2015-03-02 18:30:00,50000000
404,45,6,9,13,11,18,35,2015-03-02 20:30:00,50000000
405,32,39,49,12,28,21,2,2015-03-02 22:30:00,50000000
406,8,47,27,21,5,40,48,2015-03-03 12:30:00,50000000
407,31,42,13,16,36,22,6,2015-03-03 14:30:00,50000000
408,4,9,48,25,45,23,10,2015-03-03 16:30:00,50000000
409,4,27,48,31,19,43,10,2015-03-03 18:30:00,50000000
410,42,12,5,32,6,14,8,2015-03-03 20:30:00,50000000
411,19,11,36,12,5,34,17,2015-03-03 22:30:00,50000000
412,45,14,28,35,29,17,5,2015-03-04 12:30:00,33781277
413,23,28,5,41,42,13,38,2015-03-04 14:30:00,33860856
414,46,1,31,6,8,7,49,2015-03-04 16:30:00,33905996
415,13,4,27,10,40,45,47,2015-03-04 18:30:00,33952339
416,34,48,14,19,43,29,46,2015-03-04 20:30:00,33992555
417,19,9,13,37,36,5,20,2015-03-04 22:30:00,34034475
418,6,21,34,13,5,39,29,2015-03-05 12:30:00,34066812
